distance,dB,speed
329,69.42,0
329,66.06,0
329,71.07,0
329,62.41,0
329,62.3,0
329,61.5,0
329,60.54,0
329,59.89,0
329,60,0
329,60.17,0
329,59.87,0
329,60.04,0
329,60.03,0
329,60.15,0
329,59.92,0
329,60.35,0
329,59.91,0
329,60.12,0
329,59.98,0
329,60.4,0
329,60.09,0
329,60.54,0
329,62.17,0
329,60.36,0
329,60.06,0
329,60.33,0
329,60.36,0
329,60.23,0
329,60.09,0
329,60.09,0
329,59.91,0
329,59.94,0
329,60,0
329,60.4,0
329,59.99,0
329,63.11,0
329,63.27,0
329,65.41,0
330,65.72,0
333,72.3,2
340,73.3,8.5
350,74.08,15.2
364,76.06,21.7
381,76.28,28.5
403,75.51,34.9
426,78.93,41.5
452,79.51,44.5
478,74.56,46.8
506,74.15,49
535,76.35,50.8
564,76.94,52.1
594,76.16,53.2
624,74.97,53.7
654,76.42,54.1
683,76.68,53.9
713,80.87,53.6
743,78.35,54.1
773,76.54,54.1
803,76.85,53.8
833,76.91,53.5
863,73.77,53.5
893,75.07,54.3
923,76.64,54.1
953,76.48,53.9
983,78.38,53.3
1013,81.96,53.7
1046,82.37,56.6
1081,82.57,61.5
1119,82.49,65.6
1158,83.18,69.4
1199,82.91,72.5
1242,83.91,75.6
1286,82.28,78.1
1331,83.8,80.2
1375,81.67,81.5
1417,81.8,77.4
1458,83.57,73.8
1498,82.07,72.5
1540,81.85,74.2
1583,82.58,76
1626,84.97,77.9
1670,81.49,78.4
1715,82.21,80
1758,81.73,79.2
1802,82.17,78
1846,83.06,78.9
1889,81.54,78.8
1933,81.26,79.2
1976,80.05,78.1
2016,78.62,75
2055,77.15,71.6
2092,76.99,68
2126,78.34,64
2157,75.05,58.7
2186,73.84,53.6
2211,73.53,48.5
2235,73.74,44.1
2256,70.53,40
2274,70.11,35.5
2289,66.1,30.4
2302,64.85,25.1
2313,63.41,20.9
2322,62.41,17.6
2329,62.03,15.2
2335,62.35,12.1
2340,62.97,8.9
2342,63.42,6.4
2344,70.32,3.7
2346,73.23,1.5
2346,71.36,0
2346,68.15,0
2346,66.55,0
2346,66.14,0
2346,65.78,0
2346,68.09,0
2346,71.46,0
2346,63.96,0
2346,63.97,0
2346,63,0
2346,62.76,0
2346,61.65,0
2346,61.38,0
2346,61.3,0
2346,61.22,0
2346,61.54,0
2346,61,0
2346,61.4,0
2346,60.93,0
2346,61.05,0
2346,60.96,0
2346,63.51,0
2346,63.32,0
2346,65.53,0
2347,66.37,0
2350,68.62,2.3
2357,73.07,8.9
2366,70.57,15.6
2379,71.8,20.1
2394,72.91,24
2411,72.89,29.9
2429,75.29,31.7
2448,77.04,33.1
2467,78.24,34.7
2488,79.04,36.1
2509,79.4,37.3
2530,80.96,38.2
2552,81.14,38.9
2573,81.38,38.2
2594,80.82,38.6
2616,80.08,38.9
2638,79.09,38.5
2659,75.86,39.4
2681,73.42,39.4
2703,73.05,39.1
2725,72.77,39.1
2746,72.65,38.9
2768,72.06,39.1
2790,71.9,39.1
2812,70.13,39.6
2834,71.18,40.1
2857,71.66,40.8
2881,71.88,41.8
2904,74.24,41.7
2926,76.48,41.1
2948,76.48,40.2
2971,76.22,40
2996,79.17,41.5
3024,79.39,46.6
3055,81.97,54.2
3089,81.8,59.5
3124,83.15,61.9
3160,83.29,64.3
3197,81.16,66.2
3235,81.29,67.7
3274,83.45,68.8
3312,83.14,68.8
3351,84.25,68.8
3392,83.98,71.9
3433,84.29,74.6
3475,82.69,76
3516,81.84,74.7
3556,82.26,72.7
3596,81.25,70.9
3635,79.81,71.8
3675,81.27,71.2
3713,83.12,69.9
3750,78.43,68.1
3786,75.16,65.7
3819,74.81,62.3
3851,75.29,58.8
3882,78.89,55.6
3912,75.29,55.2
3943,77.57,55
3973,74.56,54.7
4003,76.82,54.5
4034,78.43,54.3
4064,78.32,54.1
4093,77.74,53.9
4123,76.27,53.7
4153,78.55,53.7
4183,80.12,53.5
4213,78.35,53.5
4244,78.76,54.2
4277,78.77,57.8
4311,80.66,61.2
4347,81.69,63.1
4383,81.77,64.8
4421,81.8,66.3
4459,82.67,68.3
4497,82.25,69.3
4536,83.2,69.3
4575,85.48,68.8
4615,83.6,71
4657,82.87,74.8
4701,84.14,77.4
4745,85.14,79.1
4791,83.89,80.9
4837,84.97,82.2
4883,85.67,83.4
4930,84.41,84.3
4976,83.38,83.7
5020,81.38,81.2
5062,83.02,77.8
5102,82.87,73.8
5141,77.3,70.6
5179,74.87,69.9
5216,76.69,67.8
5249,75.98,62.7
5279,73.24,57.2
5307,71.09,51.8
5331,71.75,46.6
5354,72.54,42.3
5373,70.7,37.8
5390,66.34,33.1
5404,64.93,27.7
5416,63.6,22.6
5425,62.55,18.6
5433,61.46,16.3
5440,61.02,12.9
5444,60.8,9.7
5447,60.97,7
5456,62.66,4.3
5457,71.56,1.9
5457,71.16,0
5457,67.07,0
5457,66.22,0
5457,69.6,0
5457,68.5,0
5457,64.16,0
5457,63.24,0
5457,61.4,0
5457,61.16,0
5457,61.4,0
5457,61.78,0
5457,61.7,0
5457,60.05,0
5457,60.09,0
5457,59.85,0
5457,59.98,0
5457,59.9,0
5457,60.52,0
5457,61.73,0
5457,63.93,0
5457,62.89,0
5457,61.42,0
5457,61.22,0
5457,61.22,0
5457,63.29,0
5457,63.01,0
5457,62.17,0
5457,62.65,0
5457,62.34,0
5457,63.81,0
5457,65.19,0
5459,71.8,1
5465,72.81,7.2
5475,72.98,13.9
5488,75.05,21.1
5506,74.69,28
5527,78.3,34.8
5551,79.8,41.8
5577,78.95,45.2
5604,75.61,48
5633,75.64,50.2
5662,75.17,51.8
5692,80,53.5
5722,79.05,54.3
5752,80.08,53.8
5781,80.32,53.3
5812,78.78,54
5841,77,54.1
5871,75.4,53.3
5901,75.1,53.8
5931,75.79,54.4
5961,76.25,54.4
5991,77.54,54
6022,77.85,53.9
6054,80.81,55.8
6088,80.63,59.4
6123,82.85,62.1
6158,80.7,63.5
6195,83.42,64.9
6232,83.98,66.2
6271,82.73,68.1
6311,80.07,71.3
6352,78.96,73.9
6392,77.08,74.4
6430,73.98,70.2
6464,76.43,64.2
6494,76.06,57.7
6521,72.74,51.3
6545,70.97,45.4
6566,73.91,40.8
6585,70.95,36.4
6602,69.47,32.3
6616,66.04,28.2
6629,64.24,24
6639,62.84,20.3
6648,61.92,17
6655,61.53,14.9
6661,61.36,11.9
6666,61.03,9.1
6668,61.21,6.4
6670,72.57,3.7
6672,71.38,1.5
6672,71.01,0
6672,67.78,0
6672,71.65,0
6672,69.19,0
6672,69.58,0
6672,64.5,0
6672,64.18,0
6672,61.54,0
6672,60.92,0
6672,60.66,0
6672,60.67,0
6672,60.76,0
6672,60.64,0
6672,60.65,0
6672,60.85,0
6672,63.88,0
6672,63.09,0
6672,65.4,0
6673,65.79,0
6676,72.63,1.7
6682,72.81,8.2
6692,72.99,15
6706,74.48,21.9
6724,77.78,29
6746,77.88,35.9
6772,80.24,42.9
6802,82.45,49.9
6835,83.95,56.4
6871,82.96,62.1
6909,85.46,67.3
6950,84.11,71.9
6994,85.56,76.3
7040,86.55,80.3
7087,85.46,84.1
7136,87.04,87.6
7185,86.02,88.8
7232,81.78,86.5
7276,78.37,82.3
7318,78.92,77.8
7358,78.84,73.7
7396,78.47,69.7
7432,77.5,66.1
7466,79.18,62.8
7497,79.6,59
7527,78.53,55.3
7555,79.39,52
7583,75,50.2
7610,74.84,49.4
7637,76.72,48.6
7662,77.52,46
7686,78.47,45.2
7710,78.41,42.8
7733,76.1,41.1
7757,73.17,42.8
7781,71.91,43.3
7806,73.38,44.2
7829,73.45,43.9
7850,71.87,40.4
7869,70.39,36.1
7885,66.31,31
7898,64.38,25.7
7909,63.2,21.1
7918,62.36,17.5
7925,61.85,15.2
7931,60.22,12.2
7936,59.99,9.3
7938,60.41,6.6
7940,71.62,3.8
7940,70.56,1.7
7940,66.51,0
7940,70.36,0
7940,66.82,0
7940,62.03,0
7940,61.59,0
7940,61.02,0
7940,60.83,0
7940,61.21,0
7940,60.19,0
7940,60.16,0
7940,60.61,0
7940,60.47,0
7940,60.18,0
7940,60.18,0
7940,59.95,0
7940,59.96,0
7940,60.1,0
7940,59.93,0
7940,60.07,0
7940,59.86,0
7940,60.03,0
7940,60.12,0
7940,59.9,0
7940,59.92,0
7940,60.02,0
7940,60.02,0
7940,61.51,0
7940,62.14,0
7940,63.32,0
7941,66.07,0
7944,72.72,1.6
7950,74.29,8.2
7960,75.92,14.9
7974,76.9,21.8
7992,76.03,28.8
8013,75.02,35.8
8036,74.58,39.8
8060,77.63,42.1
8085,77.55,44.6
8111,75.79,46.2
8138,76.13,48
8166,77.06,48.8
8193,77.93,49.1
8220,77.23,49.3
8248,75.98,49.3
8275,78,49.6
8303,78.13,50
8331,77.61,50.5
8360,77.36,50.7
8388,74.73,50.8
8415,72.33,50.4
8442,71.64,49.4
8465,74.33,44.8
8485,70.43,39.2
8502,66.77,33.5
8516,64.96,28
8528,63.62,23.2
8538,62.59,19.2
8547,62.39,16.4
8553,61.12,13.9
8559,60.79,11
8563,61.17,8.3
8565,61,5.5
8566,72.95,2.9
8570,72.7,1
8570,71.44,0
8570,65,0
8570,72.2,0
8570,67.25,0
8570,63.08,0
8570,61.83,0
8570,61.11,0
8570,60.99,0
8570,61.5,0
8570,61,0
8570,61.1,0
8570,60.59,0
8570,60.79,0
8570,61.1,0
8570,60.93,0
8570,60.73,0
8570,62.8,0
8570,64.54,0
8570,64.84,0
8571,66.63,0
8573,72.18,1.3
8579,72.77,7.6
8589,73.48,14.3
8603,75.46,21.4
8620,78.62,28.2
8642,79.36,35
8667,84.35,41.9
8696,84.63,49
8729,83.99,56.1
8765,84.54,62.2
8805,84.96,67.9
8846,86.6,73.5
8890,86.73,77.3
8935,84.47,80
8980,84.72,80.8
9024,84.13,80.1
9067,83.42,78.8
9108,88.24,76.5
9149,88.45,73.5
9189,84.39,71.4
9228,83.62,72.1
9268,81.86,71.4
9306,84.14,69.9
9343,84.06,68
9381,83.48,66.9
9420,83.44,68.5
9458,84.18,69.9
9497,85.32,69.6
9535,84.15,69.3
9573,84.14,68.8
9612,83.79,68.5
9650,84.81,69.4
9689,84.75,69.5
9727,85.43,68.8
9764,84.9,67.7
9801,84.21,66.8
9837,83.18,65.4
9871,82.25,64
9904,79.18,61.1
9935,77.55,57.5
9963,76.23,53.2
9988,75.6,47.7
10009,73.99,41.7
10027,69.74,35.6
10042,68.44,29.4
10053,66.22,23.2
10063,64.83,17.9
10071,63.73,15.8
10077,62.76,12.6
10082,62.64,9.9
10085,62.89,6.9
10086,69.58,4.2
10087,71.86,1.8
10089,69.2,0
10089,67.48,0
10089,70.77,0
10089,66.22,0
10089,61.82,0
10089,62.02,0
10089,62.7,0
10089,62.14,0
10089,62.1,0
10089,62.59,0
10089,60.59,0
10089,60.46,0
10089,60.55,0
10089,60.27,0
10089,60.32,0
10089,60.29,0
10089,60.54,0
10089,60.25,0
10089,62.25,0
10089,62.22,0
10089,64.71,0
10090,68.18,0
10093,74.89,2.5
10100,75.14,9.3
10111,78.09,16.1
10126,80.17,23
10144,81.28,29.8
10166,82.54,36.8
10192,82.86,43.4
10219,83.21,48.5
10248,84.28,50.8
10278,84.49,53
10310,84.1,55.3
10343,85.61,57.6
10377,87.03,60.6
10413,86.73,63.1
10449,85.03,65.2
10486,85.35,66.2
10524,83.85,68.4
10562,85.18,68.3
10601,85.16,68.7
10639,86.17,69.2
10676,83.18,68.2
10709,78.78,63.7
10740,76.03,58.4
10768,74.34,53.1
10793,74.22,47.3
10814,71.51,41.4
10833,71.51,35.8
10848,67.75,30.2
10861,65.47,25.1
10871,64.09,20.3
10880,62.88,17
10887,61.99,14.7
10893,60.94,11.6
10897,60.3,8.7
10900,60.93,6.1
10901,68.54,3.5
10901,71.49,1.4
10903,68.16,0
10903,63,0
10903,62.64,0
10903,62.36,0
10903,62.28,0
10903,63.08,0
10903,70.73,0
10903,67.43,0
10903,60.36,0
10903,60.24,0
10903,61.44,0
10903,60.49,0
10903,60.7,0
10903,60.7,0
10903,60.43,0
10903,61.16,0
10903,61.62,0
10903,61.9,0
10903,61.85,0
10903,63.43,0
10903,63.24,0
10903,65.4,0
10904,67.82,0
10907,74.42,2.1
10914,75.3,8.9
10924,77.85,15.5
10938,79.15,22.4
10957,81.45,29.4
10979,83.9,36.1
11004,83.88,42.9
11034,85.18,49.6
11066,85.62,55.7
11100,84.46,60.1
11134,84.63,61.8
11170,85.77,63.4
11207,86.51,64.9
11244,86.58,66.6
11282,87.06,68
11320,86.59,69
11359,87.72,69.4
11399,88.04,71.1
11440,86.61,72.9
11481,86.01,73.5
11523,86.26,74.5
11564,87.65,74.5
11605,89.36,74.4
11647,88.94,74.3
11688,89.13,74.4
11729,87.73,74.4
11770,88.25,74.3
11812,87.35,74.2
11853,88.12,74.3
11894,87.92,74.2
11934,86.11,73.8
11972,84.03,70.3
12007,81.94,65.6
12039,80.48,60.7
12068,77.67,55.5
12095,75.91,49.9
12118,74.84,44
12137,72.08,38.6
12154,68.8,33.1
12168,67.35,27.7
12180,66.29,22.8
12189,66.13,18.6
12198,65.34,16.1
12204,64.89,13.2
12209,64.72,10.3
12212,65,7.4
12214,65.07,4.8
12215,72.45,2.2
12215,73.11,0.3
12218,69.91,0
12218,71.76,0
12218,67.72,0
12218,64.28,0
12218,65.09,0
12218,65.09,0
12218,64.4,0
12218,64.8,0
12218,64.61,0
12218,64.31,0
12218,65.08,0
12218,64.75,0
12218,64.82,0
12218,65.09,0
12218,65.02,0
12218,64.25,0
12218,65.28,0
12218,64.98,0
12218,64.91,0
12218,64.69,0
12218,64.81,0
12218,64.72,0
12218,65.51,0
12218,65.35,0
12218,66.81,0
12219,68.64,0
12222,74.75,1.8
12228,76.92,8.5
12238,75.95,15.2
12253,77.1,21.9
12271,79.58,29
12292,81.86,35.8
12318,82.07,42.4
12347,83.02,49
12379,85.38,55.2
12412,85,59.6
12447,84.08,61.5
12483,85.99,63.4
12519,85.67,65.3
12557,85.55,66.8
12595,86.21,68.2
12633,85.37,69.3
12671,85.48,68.6
12709,85.85,68.6
12747,83.17,68
12782,84.91,66.4
12815,79.97,61.3
12844,74.64,56.1
12871,73.37,50.8
12895,74.36,45.4
12915,70.98,39.8
12933,69.1,34.2
12948,66.35,29.2
12960,65.46,23.7
12970,64.66,19.9
12979,63.95,17
12986,63.04,14.4
12991,64.03,11
12995,63.36,8.2
12998,64,5.7
12999,72.05,3.2
12999,71.41,1.3
13001,65.75,0
13001,69.32,0
13001,70.49,0
13001,60.77,0
13001,60.45,0
13001,61.06,0
13001,60.17,0
13001,60.3,0
13001,60.33,0
13001,60.21,0
13001,60.52,0
13001,60.11,0
13001,60.25,0
13001,60.24,0
13001,60.07,0
13001,60.07,0
13001,60.06,0
13001,60.22,0
13001,60.17,0
13001,59.97,0
13001,62.03,0
13001,63.17,0
13001,64.86,0
13002,65.89,0
13004,73.27,0.7
13009,75.26,6.5
13018,74.88,13.1
13031,74.72,19.8
13048,77.6,26.7
13068,79.31,33.5
13093,78.87,40.3
13120,80.93,47.1
13151,85.14,53
13183,85.14,55.8
13216,85.21,58.8
13250,86.06,60.9
13285,85.46,62.5
13321,85.54,63.9
13357,88.4,64.3
13393,87.77,64.6
13430,86.04,66.2
13468,86.61,67.8
13507,87.55,69.2
13545,84.53,69
13583,85.81,68.2
13621,86.98,69
13659,89.23,69.1
13698,88.61,68.4
13736,84.84,69.1
13774,86.37,69.1
13812,84.08,68.9
13851,86.01,68.7
13889,86.41,68.6
13928,86.91,69.8
13969,86.77,71.5
14009,83.94,73.4
14050,84.66,73.3
14091,85.3,74.3
14132,84.53,73.9
14172,84.55,72.5
14212,84.21,71.9
14250,83.56,71
14287,83.94,67.1
14321,84.02,63.7
14354,84.14,60.5
14385,83.49,57.4
14414,81.16,54.3
14442,80.83,51.2
14468,78.96,48.1
14493,76.82,46.1
14516,77.38,43.7
14538,75.2,40.9
14559,74.31,37.9
14577,78.32,35
14595,75.72,32.1
14611,74.55,30.8
14626,75,27.9
14639,78.34,25.1
14653,78.94,24.3
14668,76.69,26.2
14684,75.09,27.8
14700,75.81,28.4
14716,78.32,28.1
14732,78.72,29.5
14748,76.93,28.9
14764,75.22,28.1
14780,74.99,29.3
14796,77.24,28.9
14812,77.99,28
14828,75.9,29.3
14844,74.16,29.1
14860,77.22,28.3
14876,72.84,28.9
14892,73.46,29.4
14906,68.57,27.5
14919,66.94,24.9
14930,66.34,21.3
14940,65.58,18.4
14948,64.78,16
14955,64.32,14.1
14962,63.96,12.7
14968,62.94,10.8
14972,62.56,9.3
14976,62.52,7.5
14978,62.73,5.3
14979,62.6,3.1
14983,70.97,1.4
14983,69.35,0
14983,64.96,0
14983,64.69,0
14983,64.4,0
14983,64.43,0
14983,65,0
